"Action","Receipt Date","Type","Application Number","Bank Name","Branch Name","Branch Address","City","State","County"
"Receipt",2020-06-12,"Branch Establishment","2020-LB-BranchNew-314893","Citizens Bank, NA","East 9th Street","2000 East 9th Street","Cleveland","OH","Cuyahoga"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314886","Capital One, NA","Elysian Fields Branch","115 MAIN STREET","ELYSIAN FIELDS","TX","Harrison"
"Consummated/Effective",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314937","JPMorgan Chase Bank, NA","Fair Lawn","1351 RIVER ROAD","FAIR LAWN","NJ","Bergen"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314884","Capital One, NA","Great Falls","9863 GEORGETOWN PIKE","GREAT FALLS","VA","Fairfax"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314877","Capital One, NA","Haynesville Drive-Up Office","9999 Highway 79","Haynesville","LA","Claiborne"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314879","Capital One, NA","Haynesville Office","1914 Main Street","Haynesville","LA","Claiborne"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314876","Capital One, NA","Homer Office","617 WEST MAIN STREET","HOMER","LA","Claiborne"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314887","Capital One, NA","Longview Branch","1701 NORTH WEST LOOP 281","LONGVIEW","TX","Gregg"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314891","Capital One, NA","Marshall","100 NORTH BOLIVAR STREET","MARSHALL","TX","Tyler"
"Consummated/Effective",2020-06-12,"Terminations","2020-WE-Termination-314153","Community NB","Messenger Service","901 HIGHWAY 60","MONETT","MO","Barry"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314885","Capital One, NA","Mill Basin","2102-2128 RALPH AVENUE","BROOKLYN","NY","Kings"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314874","Capital One, NA","Northwest Office","301 NORTHWEST BOULEVARD","FRANKLIN","LA","St Mary"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314878","Capital One, NA","Oakdale Office","115 NORTH ELEVENTH STREET","OAKDALE","LA","Allen"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314881","Capital One, NA","Rehoboth","19268 OLD LANDING ROAD","REHOBOTH","DE","Sussex"
"Consummated/Effective",2020-06-12,"Branch Closings","2020-LB-BranchClosing-312510","JPMorgan Chase Bank, NA","Sacramento - Freeport","4701 FREEPORT BLVD","SACRAMENTO","CA","Sacramento"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314888","Capital One, NA","Tribeca","90 WEST BROADWAY","NEW YORK","NY","New York"
"Receipt",2020-06-12,"Branch Closings","2020-LB-BranchClosing-314892","Capital One, NA","West 34th","11097A NORTHWEST FREEWAY","HOUSTON","TX","Harris"
"Consummated/Effective",2020-06-12,"Branch Closings","2020-WE-BranchClosing-313693","Community West Bank NA","Westlake Village","951 WESTLAKE BLVD., SUITE 100","WESTLAKE VILLAGE","CA","Ventura"
"Receipt",2020-06-15,"Change in Bank Control","2020-WE-CBCA-314993","New Omni Bank, NA"," "," "," "," "," "
"Receipt",2020-06-15,"Fiduciary Powers","2020-WE-Fiduciary-314933","AMG National Tr Bank"," "," "," "," "," "
"Receipt",2020-06-15,"Subsidiaries & Equities","2020-LB-Subs&Equities-314899","Capital One, NA"," "," "," "," "," "
"Receipt",2020-06-15,"Subsidiaries & Equities","2020-LB-Subs&Equities-314900","Capital One, NA"," "," "," "," "," "
"Consummated/Effective",2020-06-15,"Relocation","2019-LB-Relocation-310047","Wells Fargo Bank, N.A.","18th and K Street Office","1800 K STREET, N.W.","WASHINGTON","DC","District of Columbia"
"Consummated/Effective",2020-06-15,"Branch Establishment","2020-CE-BranchNew-313954","Cornerstone NB & Tr Co","Cornerstone National Bank & Trust Company - Schaumburg IL Branch","650 East Algonquin Road, Suite 100","Schaumburg","IL","Cook"
"Consummated/Effective",2020-06-15,"Branch Establishment","2020-WE-BranchNew-314977","First Federal Bank & TR","First Fedeal Bank & Trust - Billings branch","1575 Shiloh Road, Suite H","Billings","MT","Yellowstone"
"Receipt",2020-06-15,"Branch Establishment","2020-WE-BranchNew-314977","First Federal Bank & TR","First Fedeal Bank & Trust - Billings branch","1575 Shiloh Road, Suite H","Billings","MT","Yellowstone"
"Consummated/Effective",2020-06-15,"Branch Establishment","2017-NE-BranchNew-299748","Valley NB","Hamlin Groves","Intersection of New Independence Parkway and Hamlin Groves","Winter Garden","FL","Orange"
"Approved",2020-06-15,"Relocation","2020-SO-Relocation-314846","Broadway NB","Kerrville","500 MAIN STREET","KERRVILLE","TX","Kerr"
"Receipt",2020-06-15,"Branch Closings","2020-LB-BranchClosing-314917","JPMorgan Chase Bank, NA","Orchards Park Fred Meyer","7411 NE 117TH AVE","VANCOUVER","WA","Clark"
"Deleted",2020-06-15,"Branch Closings","2020-HQ-BranchClosing-314957","Trustmark NB","Sawmill Branch","1005 SAWMILL ROAD","LAUREL","MS","Jones"
"Receipt",2020-06-15,"Branch Closings","2020-HQ-BranchClosing-314957","Trustmark NB","Sawmill Branch","1005 SAWMILL ROAD","LAUREL","MS","Jones"
"Consummated/Effective",2020-06-15,"Relocation","2018-LB-Relocation-306215","Wells Fargo Bank, N.A.","State Road 84 Office","1100 WEST STATE ROAD 84","FORT LAUDERDALE","FL","Broward"
"Consummated/Effective",2020-06-15,"Branch Establishment","2019-LB-BranchNew-309905","JPMorgan Chase Bank, NA","Wentworh and Freeport","4680 Freeport Blvd, Ste 110","Sacramento","CA","Sacramento"
"Receipt",2020-06-15,"Branch Closings","2020-SO-BranchClosing-315082","Trustmark NB","West Laurel Branch","1500 WEST FIRST STREET","LAUREL","MS","Jones"
"Consummated/Effective",2020-06-16,"Change in Bank Control","2019-SO-CBCA-310185","Intercredit Bank NA"," "," "," "," "," "
"Approved",2020-06-16,"Conversions","2020-CE-Conversion-314328","Mid Central FSB"," "," "," "," "," "
"Approved",2020-06-16,"Relocation","2020-LB-Relocation-314542","TD Bank, NA","32nd and Park Avenue Branch","475 PARK AVENUE SOUTH","NEW YORK","NY","New York"
"Approved",2020-06-16,"Relocation","2020-LB-Relocation-314606","Citizens Bank, NA","Beacon","364 MAIN STREET","BEACON","NY","Dutchess"
"Approved",2020-06-16,"Branch Establishment","2020-LB-BranchNew-314540","JPMorgan Chase Bank, NA","Bellevue","SEC Highway 70 S and Coley Davis Road","Nashville","TN","Davidson"
"Approved",2020-06-16,"Branch Establishment","2020-LB-BranchNew-314454","Santander Bank, NA","Boston - Nubian Square","2181 Washington Street","Roxbury","MA","Suffolk"
"Consummated/Effective",2020-06-16,"Branch Closings","2020-LB-BranchClosing-313051","JPMorgan Chase Bank, NA","Bristol","308 S DIVISION STREET","BRISTOL","IN","Elkhart"
"Receipt",2020-06-16,"Branch Establishment","2020-LB-BranchNew-314932","JPMorgan Chase Bank, NA","Cary Street and 13th Street","NEC East Cary Street and South 13th Street","Richmond","VA","Richmond City"
"Receipt",2020-06-16,"Branch Closings","2020-LB-BranchClosing-314939","JPMorgan Chase Bank, NA","Church Ave & Utica Avenue","5015 CHURCH AVE","BROOKLYN","NY","Kings"
"Receipt",2020-06-16,"Branch Closings","2020-LB-BranchClosing-314937","JPMorgan Chase Bank, NA","Fair Lawn","1351 RIVER ROAD","FAIR LAWN","NJ","Bergen"
"Receipt",2020-06-16,"Branch Closings","2020-LB-BranchClosing-314935","JPMorgan Chase Bank, NA","Four Flaggs Center","8205 W GOLF ROAD, STE 2","NILES","IL","Cook"
"Consummated/Effective",2020-06-16,"Branch Closings","2020-LB-BranchClosing-313661","U.S. Bank NA","Galion Office","1 PUBLIC SQUARE","GALION","OH","Crawford"
"Approved",2020-06-16,"Relocation","2020-LB-Relocation-314449","Citizens Bank, NA","Hyde Park Shaw's","1377 HYDE PARK AVE","HYDE PARK","MA","Suffolk"
"Receipt",2020-06-16,"Branch Closings","2020-CE-BranchClosing-314927","Liberty Svg Bk FSB","Liberty Svg Bk Fsb - Granby Branch","129 East Agate Avenue","Granby","CO","Grand"
"Receipt",2020-06-16,"Branch Closings","2020-CE-BranchClosing-314928","Liberty Svg Bk FSB","Liberty Svg Bk Fsb - Monaco & Yale Branch","6460 East Yale Avenue","Denver","CO","Denver"
"Receipt",2020-06-16,"Branch Closings","2020-LB-BranchClosing-314938","JPMorgan Chase Bank, NA","Lynnwood Fred Meyer","4615 196TH ST SW, STE 105","LYNNWOOD","WA","Snohomish"
"Approved",2020-06-16,"Branch Establishment","2020-LB-BranchNew-314507","JPMorgan Chase Bank, NA","Maple Avenue Shopping Center","SEC Maple Avenue East aka Hwy 123 and Glyndon Street SE","Vienna","VA","Fairfax"
"Receipt",2020-06-16,"Branch Establishment","2020-LB-BranchNew-314931","JPMorgan Chase Bank, NA","Norristown","SWC West Main Street and Hamilton Street","Norristown","PA","Montgomery"
"Approved",2020-06-16,"Relocation","2020-LB-Relocation-314692","Wells Fargo Bank, N.A.","North 19th","1400 NORTH 19TH STREET","BOZEMAN","MT","Gallatin"
"Receipt",2020-06-16,"Branch Closings","2020-LB-BranchClosing-314936","JPMorgan Chase Bank, NA","North Auburn Fred Meyer","801 AUBURN WAY N, STE D","AUBURN","WA","King"
"Receipt",2020-06-16,"Branch Closings","2020-LB-BranchClosing-314940","JPMorgan Chase Bank, NA","North Burien Fred Meyer","14300 1ST AVE S, STE B","BURIEN","WA","King"
"Receipt",2020-06-16,"Branch Establishment","2020-CE-BranchNew-314990","First NB of Bellevue","Perkins Branch","4000 Milan Road","Sandusky","OH","Erie"
"Consummated/Effective",2020-06-16,"Branch Closings","2020-LB-BranchClosing-313663","U.S. Bank NA","Pomeroy Branch","804 MAIN STREET","POMEROY","WA","Garfield"
"Consummated/Effective",2020-06-16,"Branch Closings","2020-LB-BranchClosing-315036","JPMorgan Chase Bank, NA","Redmond Fred Meyer","944 SW 9TH ST, STE 101","REDMOND","OR","Deschutes"
"Approved",2020-06-16,"Branch Establishment","2020-NE-BranchNew-314537","Virginia NB","Roseneath Office","1401 Roseneath Road","Richmond","VA","Richmond City"
"Approved",2020-06-16,"Branch Establishment","2020-LB-BranchNew-314541","JPMorgan Chase Bank, NA","Sewickley","NWC Beaver Street and Broad Street","Sewickley","PA","Allegheny"
"Consummated/Effective",2020-06-16,"Branch Closings","2020-LB-BranchClosing-313102","Bank of America, NA","Tierrasanta Branch","10701 TIERRASANTA BLVD.","SAN DIEGO","CA","San Diego"
"Approved",2020-06-16,"Branch Establishment","2020-LB-BranchNew-314508","JPMorgan Chase Bank, NA","Tysons Greensboro","SWC Greensboro Drive and International Drive aka Hwy 684","McLean","VA","Fairfax"
"Consummated/Effective",2020-06-16,"Branch Closings","2020-LB-BranchClosing-313813","JPMorgan Chase Bank, NA","Westpark Tollway Banking Center","17225 WESTHEIMER ROAD","HOUSTON","TX","Fort Bend"
"Approved",2020-06-17,"Business Combinations","2020-CE-Combination-314103","First Mid Bank & Trust, NA"," "," "," "," "," "
"Consummated/Effective",2020-06-17,"Relocation","2020-LB-Relocation-313087","Fifth Third Bank, NA","00891 Hurstbourne BC","9990 Ormsby Station Road","Louisville","KY","Jefferson"
"Approved",2020-06-17,"Relocation","2020-LB-Relocation-314731","TD Bank, NA","50th & Broadway Branch","1633 BROADWAY","NEW YORK","NY","New York"
"Receipt",2020-06-17,"Branch Closings","2020-LB-BranchClosing-314958","JPMorgan Chase Bank, NA","Carefree & 48th Street Frys","4815 EAST CAREFREE HIGHWAY, SUITE 100","CAVE CREEK","AZ","Maricopa"
"Consummated/Effective",2020-06-17,"Branch Closings","2020-LB-BranchClosing-313764","Citizens Bank, NA","Edgewood Square Giant Eagle","1705 S Braddock Ave","Pittsburgh","PA","Allegheny"
"Receipt",2020-06-17,"Branch Establishment","2020-SO-BranchNew-314961","Fifth Dist Svg Bk","Fifth District Savings Bank - Lakeview Branch","425 Harrison Avenue, Suite 1100","New Orleans","LA","Orleans"
"Approved",2020-06-17,"Branch Establishment","2020-LB-BranchNew-314539","Bank of America, NA","Hamburg Place","1808 Alysheba Way","Lexington","KY","Fayette"
"Consummated/Effective",2020-06-17,"Branch Closings","2020-LB-BranchClosing-313763","Citizens Bank, NA","Millersville Center","515-C Leaman Avenue","Millersville","PA","Lancaster"
"Consummated/Effective",2020-06-17,"Branch Closings","2020-LB-BranchClosing-313765","Citizens Bank, NA","Monroe / Talmadge","5072 MONROE STREET","TOLEDO","OH","Lucas"
"Approved",2020-06-17,"Relocation","2020-LB-Relocation-314607","Citizens Bank, NA","North Haven","127 WASHINGTON AVE.","HAMDEN","CT","New Haven"
"Receipt",2020-06-17,"Branch Establishment","2020-LB-BranchNew-314956","Wells Fargo Bank, N.A.","Prosperity Church","5920 Highlands Shoppes Dr","Charlotte","NC","Mecklenburg"
"Receipt",2020-06-17,"Branch Establishment","2020-LB-BranchNew-314951","Wells Fargo Bank, N.A.","The Shoppes at Kingsgate","1319 Kingwood Dr","Kingwood","TX","Harris"
"Approved",2020-06-18,"Business Combinations","2020-CE-Combination-314530","First NB of Waterloo"," "," "," "," "," "
"Receipt",2020-06-18,"Subsidiaries & Equities","2020-SO-Subs&Equities-314969","Incommons Bank, N. A."," "," "," "," "," "
"Receipt",2020-06-18,"Branch Closings","2020-NE-BranchClosing-314980","Valley NB","Canal","93 CANAL ST","NEW YORK","NY","New York"
"Approved",2020-06-18,"Relocation","2020-CE-Relocation-313285","First Mid Bank & Trust, NA","Clayton Branch","225 South Meramec Avenue, Suite 302","Clayton","MO","St Louis"
"Receipt",2020-06-18,"Relocation","2020-LB-Relocation-314970","Citizens Bank, NA","Germantown","5500 Germantown Avenue","Philadelphia","PA","Philadelphia"
"Receipt",2020-06-18,"Branch Closings","2020-CE-BranchClosing-314974","CNB Bank & Trust, NA","Jacksonville Savings Bank","1211 West Morton Avenue","Jacksonville","IL","Morgan"
"Receipt",2020-06-18,"Branch Closings","2020-CE-BranchClosing-314971","CNB Bank & Trust, NA","Not Given","111 KEATING STREET","Shipman","IL","Macoupin"
"Receipt",2020-06-18,"Branch Establishment","2020-LB-BranchNew-314973","JPMorgan Chase Bank, NA","Prices Corner Shopping Center","SEC Kirkwood Hwy aka Hwy 41 and Albertson Blvd","Wilmington","DE","New Castle"
"Receipt",2020-06-18,"Branch Establishment","2020-LB-BranchNew-314982","U.S. Bank NA","PWM Kansas City","4600 Madison Avenue","Kansas City","MO","Jackson"
"Receipt",2020-06-18,"Branch Establishment","2020-LB-BranchNew-314972","JPMorgan Chase Bank, NA","The Collective at Canton","NWC Boston Street and South Haven Street","Baltimore","MD","Baltimore City"
"Consummated/Effective",2020-06-19,"Subsidiaries & Equities","2020-SO-Subs&Equities-315080","Citizens NB of Texas"," "," "," "," "," "
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314808","PNC Bank NA","1919 Pennsylvania Avenue","1919 PENNSYLVANIA AVENUE, N.W.","WASHINGTON","DC","District of Columbia"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314809","PNC Bank NA","Aberdeen @Stop & Shop Branch","112 Highway 34","Aberdeen","NJ","Monmouth"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314810","PNC Bank NA","Amherst Office","2201 KRESGE DRIVE","AMHERST","OH","Lorain"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314811","PNC Bank NA","Benson","400 S Wall St","Benson","NC","Johnston"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314822","PNC Bank NA","Cedar Hill","148 Route 73, Suite #2","Voorhees","NJ","Camden"
"Receipt",2020-06-19,"Branch Establishment","2020-LB-BranchNew-315001","Wells Fargo Bank, N.A.","Clemson University","720 McMillan rd","Clemson","SC","Pickens"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314833","PNC Bank NA","Concord Square @ Super G","4301 CONCORD PIKE","WILMINGTON","DE","New Castle"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314834","PNC Bank NA","Cross Keys Village","620 HARMONY DRIVE, ROOM 5025","NEW OXFORD","PA","Adams"
"Receipt",2020-06-19,"Branch Establishment","2020-NE-BranchNew-315003","Grasshopper Bank, NA","Durham Branch","2510 Meridian Parkway","Durham","NC","Durham"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314835","PNC Bank NA","Elizabeth City","606 E Main St","Elizabeth City","NC","Pasquotank"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314911","PNC Bank NA","Euclid-14th Street Branch","1401-1501 EUCLID AVENUE","CLEVELAND","OH","Cuyahoga"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314836","PNC Bank NA","Flourtown","1316 BETHLEHEM PIKE","FLOURTOWN","PA","Montgomery"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314837","PNC Bank NA","Garret Mountain Plaza","1 GARRET MOUNTAIN PLZ","Woodland Park","NJ","Passaic"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314858","PNC Bank NA","Gladwyne","954 YOUNGSFORD ROAD","GLADWYNE","PA","Montgomery"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314860","PNC Bank NA","Green Mount Commons Branch","2500 GREEN MOUNT DRIVE VE","BELLEVILLE","IL","St Clair"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314965","Bank of America, NA","Greenville Plaza","101 NORTH MAIN STREET","GREENVILLE","SC","Greenville"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314861","PNC Bank NA","Hampden","4242 CARLISLE PIKE","CAMP HILL","PA","Cumberland"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314862","PNC Bank NA","Harper's Point Branch","11294 MONTGOMERY ROAD","CINCINNATI","OH","Hamilton"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314863","PNC Bank NA","Holland","83 BUCK ROAD","HOLLAND","PA","Bucks"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314864","PNC Bank NA","Hughes Road","25 Hughes Road","Madison","AL","Madison"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314865","PNC Bank NA","Hunterdon Regional Office","1 Walter E. Foran Boulevard","Flemington","NJ","Hunterdon"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314904","PNC Bank NA","Indian River","3833 S Straits Hwy","INDIAN RIVER","MI","Cheboygan"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314905","PNC Bank NA","Lake Mary - Heathrow","1321 Heathrow Center Ln","Lake Mary","FL","Seminole"
"Consummated/Effective",2020-06-19,"Branch Closings","2020-LB-BranchClosing-313911","PNC Bank NA","Lexington Vine Street","301 EAST MAIN STREET","LEXINGTON","KY","Fayette"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314906","PNC Bank NA","Miracle Mile Branch","655 21ST STREET","VERO BEACH","FL","Indian River"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314907","PNC Bank NA","North Hills","4700 Six Forks Rd","Raleigh","NC","Wake"
"Consummated/Effective",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314679","KeyBank NA","North White Plains Branch","76-78 VIRGINIA ROAD","WHITE PLAINS","NY","Westchester"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314908","PNC Bank NA","Northlake","4855 Briarcliff Rd NE","Atlanta","GA","Dekalb"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314909","PNC Bank NA","Northside-Cincinnati Branch","4140 HAMILTON AVENUE","CINCINNATI","OH","Hamilton"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314912","PNC Bank NA","Powers Ferry","5430 New Northside Dr","Atlanta","GA","Fulton"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314913","PNC Bank NA","Queen City Square","301 EAST FOURTH STREE, SUITE 420","CINCINNATI","OH","Hamilton"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314914","PNC Bank NA","River Road","7800 RIVER ROAD","NORTH BERGEN","NJ","Hudson"
"Consummated/Effective",2020-06-19,"Branch Closings","2020-LB-BranchClosing-312652","PNC Bank NA","Roanoke Rapids","1001 Hamilton St","Roanoke Rapids","NC","Halifax"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314915","PNC Bank NA","Roosevelt Boulevard Branch","2650 ROOSEVELT BOULEVARD","CLEARWATER","FL","Pinellas"
"Receipt",2020-06-19,"Branch Establishment","2020-LB-BranchNew-315002","Huntington NB","Sewickley","419 Beaver Street","Sewickley","PA","Allegheny"
"Withdrawn",2020-06-19,"Branch Establishment","2018-LB-BranchNew-305351","JPMorgan Chase Bank, NA","Shaw Florida Avenue and 7th Street NW","NEC Georgia Avenue NW and Florida Avenue NW","Washington","DC","District of Columbia"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314920","PNC Bank NA","South-Side Office","1850 SOUTH LIMESTONE STREET","SPRINGFIELD","OH","Clark"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314919","PNC Bank NA","Springdale","SPRINGDALE & GREENTREE ROADS","CHERRY HILL","NJ","Camden"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314921","PNC Bank NA","Stone Ridge Branch","STONE RIDGE RETIREMENT COMMUNITY, 440 EAST LINCOLN AVENUE","MYERSTOWN","PA","Lebanon"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314922","PNC Bank NA","Thurber Village Branch","763 NEIL AVENUE","COLUMBUS","OH","Franklin"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314923","PNC Bank NA","Trenton Transit Center","72 SOUTH CLINTON AVENUE","TRENTON","NJ","Mercer"
"Receipt",2020-06-19,"Branch Establishment","2020-LB-BranchNew-314997","Wells Fargo Bank, N.A.","University of Minnesota","612 Washington Ave SE","Minneapolis","MN","Hennepin"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314924","PNC Bank NA","Upmc Passavant","9100 BABCOCK BOULEVARD","PITTSBURGH","PA","Allegheny"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314925","PNC Bank NA","Upmc Presbyterian Hospital","200 LOTHROP STREET","PITTSBURGH","PA","Allegheny"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314823","PNC Bank NA","Western Branch","800 WESTERN AVENUE","CHILLICOTHE","OH","Ross"
"Receipt",2020-06-19,"Branch Closings","2020-LB-BranchClosing-314926","PNC Bank NA","Westport Branch","157 WEST PORT PLAZA DRIVE","ST. LOUIS","MO","St Louis"
"Receipt",2020-06-19,"Branch Establishment","2020-LB-BranchNew-314995","Huntington NB","Woodward Corners","30955 Woodward Ave.","Royal Oak","MI","Oakland"
"Consummated/Effective",2020-06-22,"Fiduciary Powers","2020-LB-Fiduciary-315012","Blackrock Institutional Tr Co., N.A."," "," "," "," "," "
"Receipt",2020-06-22,"Fiduciary Powers","2020-LB-Fiduciary-315012","Blackrock Institutional Tr Co., N.A."," "," "," "," "," "
"Receipt",2020-06-22,"Branch Closings","2020-SO-BranchClosing-315022","First NB of Manchester","North Manchester Branch","421 RICHMOND ROAD","MANCHESTER","KY","Clay"
"Consummated/Effective",2020-06-22,"Relocation","2019-LB-Relocation-309210","Wells Fargo Bank, N.A.","Third & 78th","1370 THIRD AVENUE","NEW YORK","NY","New York"
"Receipt",2020-06-23,"Subsidiaries & Equities","2020-SO-Subs&Equities-315033","First NB Texas"," "," "," "," "," "
"Receipt",2020-06-23,"Branch Establishment","2020-LB-BranchNew-315013","U.S. Bank NA","Mound","2141 Commerce Blvd.","Mound","MN","Hennepin"
"Approved",2020-06-23,"Branch Establishment","2020-LB-BranchNew-314600","JPMorgan Chase Bank, NA","University and Lorraine","SEC University Parkway and Lorraine Road","Lakewood Ranch","FL","Sarasota"
"Receipt",2020-06-24,"Branch Establishment","2020-LB-BranchNew-315028","JPMorgan Chase Bank, NA","Clark and Addison","SWC West Addison Street and North Clark Street","Chicago","IL","Cook"
"Approved",2020-06-24,"Branch Establishment","2020-SO-BranchNew-314615","First American Natl Bank","First American National bank","105 South Main Street","Amory","MS","Monroe"
"Receipt",2020-06-24,"Branch Closings","2020-SO-BranchClosing-315191","First NB of Fort Smith","First National Bank of Nwa, Fayetteville Branch, A Division of The First National Bank of Fort Smith, Ar","2638 East Joyce Boulevard, Suite #1","Fayetteville","AR","Washington"
"Receipt",2020-06-24,"Branch Closings","2020-SO-BranchClosing-315194","BTH Bank, NA","Fort Worth Collinwood","5020 Collinwood Avenue, Suite 400","Fort Worth","TX","Tarrant"
"Receipt",2020-06-24,"Relocation","2020-CE-Relocation-314819","The Vinton County National Bank","Jackson County Banking Center, VCNB Financial Family","920 Veterans Drive, Suite E","Jackson","OH","Jackson"
"Consummated/Effective",2020-06-24,"Branch Establishment","2018-LB-BranchNew-303502","JPMorgan Chase Bank, NA","Rockville Pike and Bou Avenue","12097 Rockville Pike and Bou Avenue","Rockville","MD","Montgomery"
"Receipt",2020-06-25,"Branch Closings","2020-CE-BranchClosing-315043","Nicolet NB","Brussels Financial Center","1364 Cty Rd DK","Brussels","WI","Door"
"Receipt",2020-06-25,"Branch Closings","2020-SO-BranchClosing-315045","Citizens NB of Texas","Citizens National Bank - Italy Branch","124 E. MAIN STREET","ITALY","TX","Ellis"
"Withdrawn",2020-06-25,"Branch Establishment","2019-LB-BranchNew-307380","JPMorgan Chase Bank, NA","Clarksville","NEC Clarksville Pike and Great Star Drive","Clarksville","MD","Howard"
"Approved",2020-06-25,"Relocation","2020-WE-Relocation-314647","American Bank & Tr Co NA","Downtown Office","1600 4TH AVENUE","ROCK ISLAND","IL","Rock Island"
"Receipt",2020-06-25,"Branch Closings","2020-CE-BranchClosing-315042","Nicolet NB","Ellison Bay Financial Center","12046 Highway 42","Ellison Bay","WI","Door"
"Receipt",2020-06-25,"Branch Closings","2020-CE-BranchClosing-314734","Nicolet NB","First National Bank-Fox Valley Branch","Corner W Northland Avenue/W Service Road & North Bennett Str","Appleton","WI","Outagamie"
"Receipt",2020-06-25,"Branch Closings","2020-CE-BranchClosing-315040","Nicolet NB","Fish Creek Financial Center","9405 Highway 42","Fish Creek","WI","Door"
"Receipt",2020-06-25,"Branch Closings","2020-CE-BranchClosing-315041","Nicolet NB","Howard-Suamico Financial Center","2502 Lineville Road","Green Bay","WI","Brown"
"Receipt",2020-06-25,"Branch Closings","2020-CE-BranchClosing-315044","Nicolet NB","Jackson Street Branch","2201 Jackson Street","Oshkosh","WI","Winnebago"
"Receipt",2020-06-25,"Branch Closings","2020-CE-BranchClosing-314737","Nicolet NB","Kewaunee - Marquette Dr Branch","931 Marquette","Kewaunee","WI","Kewaunee"
"Receipt",2020-06-25,"Branch Closings","2020-CE-BranchClosing-315032","First Texoma NB","Post Oak Crossing Branch","3401 HIGHWAY 1417","SHERMAN","TX","Grayson"
"Receipt",2020-06-25,"Branch Closings","2020-SO-BranchClosing-315104","First Texoma NB","Post Oak Crossing Branch","3401 HIGHWAY 1417","SHERMAN","TX","Grayson"
"Receipt",2020-06-25,"Branch Closings","2020-LB-BranchClosing-315036","JPMorgan Chase Bank, NA","Redmond Fred Meyer","944 SW 9TH ST, STE 101","REDMOND","OR","Deschutes"
"Withdrawn",2020-06-26,"Subsidiaries & Equities","2020-LB-Subs&Equities-314448","Citibank NA"," "," "," "," "," "
