"Action","Receipt Date","Type","Application Number","Bank Name","Branch Name","Branch Address","City","State","County"
"Disapproved (CBCA)",2020-06-04,"Change in Bank Control","2020-NE-CBCA-314119","Bessemer Tr Co NA"," "," "," "," "," "
"Receipt",2020-06-04,"Branch Closings","2020-SO-BranchClosing-314786","First Century Bank, NA","Commerce Branch","1731 N Elm Street","Commerce","GA","Jackson"
"Approved",2020-06-04,"Branch Establishment","2020-LB-BranchNew-314391","JPMorgan Chase Bank, NA","Covington Square","SWC SE 272nd Street (aka Hwy 516) and 172nd Ave SE","Covington","WA","King"
"Receipt",2020-06-04,"Branch Establishment","2020-SO-BranchNew-312455","Woodforest NB","Foley (Walmart) - AL - Branch","2200 S McKenzie St","Foley","AL","Baldwin"
"Receipt",2020-06-04,"Branch Establishment","2020-LB-BranchNew-314774","JPMorgan Chase Bank, NA","Howell Mill and 14th","SEC 14th Street NW and Howell Mill Road NW","Atlanta","GA","Fulton"
"Consummated/Effective",2020-06-04,"Branch Closings","2020-LB-BranchClosing-313602","JPMorgan Chase Bank, NA","North Medford Ferd Meyer","2424 CRATER LAKE HWY","MEDFORD","OR","Jackson"
"Consummated/Effective",2020-06-04,"Branch Closings","2020-LB-BranchClosing-313601","JPMorgan Chase Bank, NA","Peninsula Fred Meyer","6850 N LOMBARD ST, STE 128","PORTLAND","OR","Multnomah"
"Approved",2020-06-04,"Relocation","2020-LB-Relocation-314533","Citizens Bank, NA","South Hills","1248 South Atherton Street","State College","PA","Centre"
"Consummated/Effective",2020-06-04,"Branch Closings","2020-LB-BranchClosing-313645","U.S. Bank NA","West Great Falls Branch","511 CENTRAL AVENUE WEST","GREAT FALLS","MT","Cascade"
"Approved",2020-06-05,"Federal Branch & Agency - Initial Establishment","2019-NE-FBA_InitialEst-310409"," "," "," "," "," "," "
"Receipt",2020-06-05,"Branch Closings","2020-LB-BranchClosing-314792","Fifth Third Bank, NA","01625 Grand Haven-Downtown BC","233 Washington Street","Grand Haven","MI","Ottawa"
"Receipt",2020-06-05,"Branch Establishment","2020-LB-BranchNew-314741","PNC Bank NA","Burlington","6 Wayside Rd Ste G-1","Burlington","MA","Middlesex"
"Consummated/Effective",2020-06-05,"Branch Closings","2020-LB-BranchClosing-314958","JPMorgan Chase Bank, NA","Carefree & 48th Street Frys","4815 EAST CAREFREE HIGHWAY, SUITE 100","CAVE CREEK","AZ","Maricopa"
"Receipt",2020-06-05,"Branch Establishment","2020-LB-BranchNew-314757","PNC Bank NA","Chestnut Hill","55 Boylston St","Chestnut Hill","MA","Middlesex"
"Receipt",2020-06-05,"Branch Establishment","2020-LB-BranchNew-314756","PNC Bank NA","Dedham","440 Legacy Place","Dedham","MA","Norfolk"
"Receipt",2020-06-05,"Branch Establishment","2020-LB-BranchNew-314696","PNC Bank NA","Hendersonville","207B Indian Lake Blvd","Hendersonville","TN","Sumner"
"Receipt",2020-06-05,"Branch Establishment","2020-LB-BranchNew-314759","PNC Bank NA","Lynnfield","1380 Market St","Lynnfield","MA","Essex"
"Receipt",2020-06-05,"Branch Establishment","2020-LB-BranchNew-314704","PNC Bank NA","Midtown Broadway","1198 Broadway","Nashville","TN","Davidson"
"Receipt",2020-06-05,"Branch Establishment","2020-LB-BranchNew-314793","TD Bank, NA","Mount Pleasant Muhlenbergia Drive","1135 Muhlenbergia Drive, Suite 102","Mount Pleasant","SC","Charleston"
"Receipt",2020-06-05,"New Bank Charter","2020-NE-Charter-314805","NewBank, NA","NewBank, NA","XXX Street","Wilmington","DE"," "
"Receipt",2020-06-05,"Branch Closings","2020-LB-BranchClosing-314791","JPMorgan Chase Bank, NA","Shasta Way Fred Meyer","2655 SHASTA WAY","KLAMATH FALLS","OR","Klamath"
"Consummated/Effective",2020-06-08,"Business Combinations","2020-SO-Combination-313656","CenterState Bank, NA"," "," "," "," "," "
"Approved",2020-06-08,"Relocation","2020-SO-Relocation-314557","Commercial Bank of Texas, NA","Gaslight Branch","1873 WEST FRANK STREET","LUFKIN","TX","Angelina"
"Consummated/Effective",2020-06-08,"Relocation","2019-NE-Relocation-307341","Santander Bank, NA","Gloucester","154 MAIN STREET","GLOUCESTER","MA","Essex"
"Consummated/Effective",2020-06-08,"Branch Closings","2020-LB-BranchClosing-314106","U.S. Bank NA","Kyle Street Office","200 KYLE STREET","ROGERSVILLE","TN","Hawkins"
"Consummated/Effective",2020-06-08,"Branch Closings","2020-LB-BranchClosing-313208","JPMorgan Chase Bank, NA","Lakeway Fred Meyer","800 LAKEWAY DR","BELLINGHAM","WA","Whatcom"
"Consummated/Effective",2020-06-08,"Branch Closings","2020-LB-BranchClosing-314938","JPMorgan Chase Bank, NA","Lynnwood Fred Meyer","4615 196TH ST SW, STE 105","LYNNWOOD","WA","Snohomish"
"Receipt",2020-06-08,"Branch Closings","2020-NE-BranchClosing-314806","People's United Bank, NA","Meriden West Stop & Shop Branch","566 West Main Street","Meriden","CT","New Haven"
"Consummated/Effective",2020-06-08,"Branch Closings","2020-LB-BranchClosing-312924","JPMorgan Chase Bank, NA","Washington and Dove","365 WEST WASHINGTON STREET","SAN DIEGO","CA","San Diego"
"Consummated/Effective",2020-06-08,"Relocation","2019-NE-Relocation-311784","Citizens Bank, NA","West Seneca","101 SLADE AVENUE","W. SENECA","NY","Erie"
"Receipt",2020-06-09,"Relocation","2020-SO-Relocation-314825","Finemark NB&T"," "," "," "," "," "
"Approved",2020-06-09,"Subsidiaries & Equities","2020-LB-Subs&Equities-314642","Huntington NB"," "," "," "," "," "
"Consummated/Effective",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314092","U.S. Bank NA","Broomfield CO","4660 W. 121st Ave.","Broomfield","CO","Broomfield"
"Approved",2020-06-09,"Relocation","2020-CE-Relocation-314556","Old NB","Columbus Main Branch","501 Washington Street","Columbus","IN","Bartholomew"
"Receipt",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314826","Bank of America, NA","Commons at Southtowne","10495 S. State St.","Sandy","UT","Salt Lake"
"Approved",2020-06-09,"Branch Establishment","2020-SO-BranchNew-314377","Community NB","Community National Bank","12509 Quaker Avenue","Lubbock","TX","Lubbock"
"Consummated/Effective",2020-06-09,"Branch Closings","2020-LB-BranchClosing-313048","JPMorgan Chase Bank, NA","Cornelius Fred Meyer","2200 BASELINE RD","CORNELIUS","OR","Washington"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314433","JPMorgan Chase Bank, NA","Doylestown","NWC North Main Street and Spruce Street","Doylestown","PA","Bucks"
"Consummated/Effective",2020-06-09,"Branch Closings","2020-LB-BranchClosing-314935","JPMorgan Chase Bank, NA","Four Flaggs Center","8205 W GOLF ROAD, STE 2","NILES","IL","Cook"
"Receipt",2020-06-09,"Branch Closings","2020-LB-BranchClosing-314817","Fifth Third Bank, NA","Grand Haven West Drive-Up","201 Columbus Street","Grand Haven","MI","Ottawa"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314438","JPMorgan Chase Bank, NA","Guilderland","NEC Western Avenue and New Kamer Road","Guilderland","NY","Albany"
"Approved",2020-06-09,"Branch Establishment","2020-WE-BranchNew-314457","CIT Bank, NA","Jordan Downs","9901 South Alameda Street","Los Angeles","CA","Los Angeles"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314349","Bank of America, NA","New Albany","5438 N Hamilton Road","Columbus","OH","Franklin"
"Consummated/Effective",2020-06-09,"Branch Closings","2020-LB-BranchClosing-314936","JPMorgan Chase Bank, NA","North Auburn Fred Meyer","801 AUBURN WAY N, STE D","AUBURN","WA","King"
"Receipt",2020-06-09,"Branch Closings","2020-LB-BranchClosing-314828","Huntington NB","Novi Private Banking","39555 Orchard Hill Place","Novi","MI","Oakland"
"Consummated/Effective",2020-06-09,"Branch Establishment","2019-SO-BranchNew-311619","Austin Bank, Texas NA","Palestine Drive-In","110 East Spring Street","Palestine","TX","Anderson"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314432","JPMorgan Chase Bank, NA","Portsmouth","SEC Woodbury Avenue and Commerce Way","Portsmouth","NH","Rockingham"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314435","JPMorgan Chase Bank, NA","Saint Charles","SEC Zumbehl Road and Regency Parkway","Saint Charles","MO","St Charles"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314434","JPMorgan Chase Bank, NA","Tualatin Sherwood","SWC SW Tualatin Sherwood Road and SW Boones Ferry Road","Tualatin","OR","Washington"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314348","Bank of America, NA","Village at the Peaks","1246 S. Hover St.","Longmont","CO","Boulder"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314299","Fifth Third Bank, NA","West End BC","656 South Main Street","Greenville","SC","Greenville"
"Approved",2020-06-09,"Branch Establishment","2020-LB-BranchNew-314436","JPMorgan Chase Bank, NA","Wethersfield","SWC Mill Street and Silas Deane Highway","Wethersfield","CT","Hartford"
"Receipt",2020-06-10,"Relocation","2020-LB-Relocation-314852","Huntington NB","9127 Hamtramck Branch","9301 JOSEPH CAMPAU","HAMTRAMCK","MI","Wayne"
"Receipt",2020-06-10,"Branch Establishment","2020-LB-BranchNew-314850","JPMorgan Chase Bank, NA","Admiral Doyle","SWC East Admiral Doyle Dr aka Hwy 647 & S. Lewis Street","New Iberia","LA","Iberia"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313725","Wells Fargo Bank, N.A.","Alamance Crossing","1796 GLIDEWELL DRIVE","BURLINGTON","NC","Alamance"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313720","Wells Fargo Bank, N.A.","Citizens Banking Center","1641 TENNESSEE AVENUE","DALHART","TX","Hartley"
"Receipt",2020-06-10,"Branch Establishment","2020-LB-BranchNew-314845","Wells Fargo Bank, N.A.","Clear Lake Market Place","5440 El Dorado Blvd","Houston","TX","Harris"
"Receipt",2020-06-10,"Relocation","2020-NE-Relocation-314842","Valley NB","Cliffside Park Branch","742 Anderson Ave","Cliffside Park","NJ","Bergen"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313628","Citizens Bank, NA","Concord Shaw's","20 FORT EDDY STREET","AMHERST","NH","Hillsborough"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313700","Wells Fargo Bank, N.A.","East Portland","310 S. EAST TAYLOR","PORTLAND","OR","Multnomah"
